,Individual ID,Correctly solved problems,Mean answer time,How many answer times were more than one std faster than mean,Most likely,2nd most likely,3rd most likely,4th most likely,5th most likely,6th most likely,7th most likely,8th most likely,9th most likely,10th most likely
3-prem,EJPXUT,16,11663.4375,1,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,EJPXUT,44,14767.583333333334,2,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 30)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 30)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 27)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 27)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 25)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 24)"
3-prem,ZARPVY,9,13202125,2,"('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,integrate,10,2,10,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 7)","('BinarySearchTree,fff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 7)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 7)","('BinarySearchTree,fff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/2.)) for n in timesteps])', 7)"
4-prem,ZARPVY,23,4440125,0,"('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeLimitedDepth,ff,integrate,10,2,10,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 27)"
3-prem,ELHJLV,16,11916.4375,1,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,ELHJLV,38,17798.333333333332,6,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 26)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 25)","('Graph,ff,integrate,10,10,10,x - 10', 25)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 25)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 25)","('InfiniteList,ff,supermodel,10,10,1,x - 10', 25)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,x - 10', 25)","('LinkedList,ff,integrate,10,10,10,x - 10', 25)","('LinkedList,fff,supermodel,10,10,1,x - 10', 25)"
3-prem,XHNLNR,15,12576.6875,1,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 9)","('Graph,fff,supermodel,10,10,1,x - 10', 9)"
4-prem,XHNLNR,39,19278.520833333332,5,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 29)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 29)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 26)","('Graph,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 26)","('InfiniteList,ff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,x - 10', 26)"
3-prem,WEJBNU,15,18376.3125,1,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 9)","('Graph,fff,supermodel,10,10,1,x - 10', 9)"
4-prem,WEJBNU,34,13286.25,0,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 25)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 25)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 25)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 24)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,x - 10', 24)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 23)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 23)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 20)"
3-prem,OAZMWE,14,17133.5,3,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 10)"
4-prem,OAZMWE,42,19094.5,2,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 24)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 24)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 23)","('Graph,ff,integrate,10,10,10,x - 10', 23)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 23)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 23)"
3-prem,NZHPIC,12,18890.6875,3,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 12)","('Graph,ff,supermodel,10,10,1,x - 10', 12)","('Graph,ff,integrate,10,10,10,x - 10', 12)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 12)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 12)","('Graph,fff,supermodel,10,10,1,x - 10', 12)"
4-prem,NZHPIC,11,23444.636363636364,1,"('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 7)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 7)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,x - 10', 7)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 5)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 5)","('BinarySearchTreeLimitedDepth,ff,integrate,10,2,10,x - 10', 5)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 4)"
3-prem,GIGSBG,13,20875.6875,1,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 9)"
4-prem,GIGSBG,22,6346.229166666667,0,"('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 29)","('BinarySearchTreeLimitedDepth,ff,integrate,10,2,10,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 28)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 28)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 27)","('BoundedList,fff,supermodel,3,10,1,x - 10', 27)","('BoundedList,fff,supermodel,2,10,1,x - 10', 27)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 27)","('BoundedList,ff,supermodel,2,10,1,x - 10', 27)","('BoundedList,ff,supermodel,3,10,1,x - 10', 27)"
3-prem,BWBJBN,0,nan,0,"('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 0)","('BinarySearchTree,fff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 0)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 0)","('BinarySearchTree,fff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/2.)) for n in timesteps])', 0)","('Graph,ff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 0)","('BinarySearchTreeTrivial,fff,integrate,10,10,10,(lambda x: 2 if x > 2 else 3)(x)', 0)","('BinarySearchTree,ff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 0)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 0)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 0)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 0)"
4-prem,BWBJBN,22,9111.9130434782601,0,"('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 32)","('BoundedList,fff,supermodel,3,10,1,x - 10', 29)","('BoundedList,fff,supermodel,2,10,1,x - 10', 29)","('BinarySearchTreeLimitedDepth,ff,integrate,10,2,10,x - 10', 29)","('BoundedList,ff,supermodel,2,10,1,x - 10', 29)","('BoundedList,ff,supermodel,3,10,1,x - 10', 29)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 28)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 28)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 28)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 28)"
3-prem,LRBGVD,16,16515.0625,4,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,LRBGVD,40,25147.270833333332,7,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 26)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 25)","('BinarySearchTree,ff,supermodel,10,10,0,x - 10', 25)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 25)","('BinarySearchTreeTrivial,ff,supermodel,10,10,0,x - 10', 25)"
3-prem,PEXVVU,15,16120.0625,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 9)","('Graph,fff,supermodel,10,10,1,x - 10', 9)"
4-prem,PEXVVU,45,52032.75,0,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 29)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 29)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 29)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 26)","('Graph,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 26)"
3-prem,ACIHNJ,4,21066.857142857141,1,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 4)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 4)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 4)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 4)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 4)"
4-prem,,,,,,,,,,,,,,
