,Individual ID,Correctly solved problems,Mean answer time,How many answer times were more than one std faster than mean,Most likely,2nd most likely,3rd most likely,4th most likely,5th most likely,6th most likely,7th most likely,8th most likely,9th most likely,10th most likely
3-prem,VHHVGU,8,17937125,4,"('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 8)","('BinarySearchTree,fff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 8)","('BinarySearchTree,fff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/2.)) for n in timesteps])', 8)","('Graph,ff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 8)","('BinarySearchTreeTrivial,fff,integrate,10,10,10,(lambda x: 2 if x > 2 else 3)(x)', 8)","('BinarySearchTree,ff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 8)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,VHHVGU,21,6616.479166666667,1,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 28)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTree,fff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 27)","('BinarySearchTree,fff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/2.)) for n in timesteps])', 27)","('Graph,ff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeTrivial,fff,integrate,10,10,10,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTree,ff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 27)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 27)"
3-prem,KGSKUR,16,23463.0625,1,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,KGSKUR,45,40556.166666666664,0,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 29)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 27)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 27)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 26)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 26)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 24)","('Graph,ff,integrate,10,10,10,x - 10', 24)"
3-prem,KTXJOY,14,20803.9375,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,KTXJOY,37,29191.0,0,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 27)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 27)","('BinarySearchTree,ff,supermodel,10,10,0,x - 10', 26)","('BinarySearchTreeTrivial,ff,supermodel,10,10,0,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 25)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 25)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 24)","('Graph,ff,integrate,10,10,10,x - 10', 24)"
3-prem,ONEKCK,12,40643.5625,2,"('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,integrate,10,2,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 8)"
4-prem,ONEKCK,30,30849.020833333332,17,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 30)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 30)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 30)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 30)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 28)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 27)","('Graph,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 27)","('InfiniteList,ff,supermodel,10,10,1,x - 10', 27)"
3-prem,OTQSDE,10,12521.0,2,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 10)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)"
4-prem,,,,,,,,,,,,,,
3-prem,LEUIYR,16,17811.25,2,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,LEUIYR,5,25978.428571428572,0,"('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,x - 10', 6)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 5)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 5)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 4)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 4)","('Graph,ff,supermodel,10,10,1,x - 10', 3)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 3)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 3)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 3)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 3)"
3-prem,ENWSAZ,12,11358625,2,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,ENWSAZ,28,4710.979166666667,0,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 25)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 25)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 25)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 25)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 25)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 24)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,x - 10', 24)"
3-prem,EOAQQH,16,26975625,3,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,EOAQQH,43,31361.6875,7,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 31)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 31)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 28)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 28)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 27)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 27)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 25)"
3-prem,NNUPMA,10,11604.5625,2,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 12)","('Graph,ff,supermodel,10,10,1,x - 10', 12)","('Graph,ff,integrate,10,10,10,x - 10', 12)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 12)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 12)","('Graph,fff,supermodel,10,10,1,x - 10', 12)"
4-prem,NNUPMA,27,1434.0208333333333,0,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 33)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 33)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 33)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 33)","('BinarySearchTree,ff,supermodel,10,10,0,x - 10', 32)","('BinarySearchTreeTrivial,ff,supermodel,10,10,0,x - 10', 32)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 30)","('Graph,ff,integrate,10,10,10,x - 10', 30)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 30)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 30)"
3-prem,LXUFLN,9,13843375,1,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 9)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 9)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 9)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 9)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 9)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 9)"
4-prem,LXUFLN,30,12848.854166666666,6,"('BinarySearchTree,ff,supermodel,10,10,0,x - 10', 27)","('BinarySearchTreeTrivial,ff,supermodel,10,10,0,x - 10', 27)","('Graph,ff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 26)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 26)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 26)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 26)","('Graph,fff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 26)"
3-prem,PGPQTJ,13,21910.23076923077,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 7)","('Graph,ff,supermodel,10,10,1,x - 10', 7)","('Graph,ff,integrate,10,10,10,x - 10', 7)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 7)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 7)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 7)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 7)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 7)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 7)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 7)"
4-prem,,,,,,,,,,,,,,
3-prem,FEOKVU,0,nan,0,"('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 0)","('BinarySearchTree,fff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 0)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 0)","('BinarySearchTree,fff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/2.)) for n in timesteps])', 0)","('Graph,ff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 0)","('BinarySearchTreeTrivial,fff,integrate,10,10,10,(lambda x: 2 if x > 2 else 3)(x)', 0)","('BinarySearchTree,ff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 0)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 0)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 0)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 0)"
4-prem,FEOKVU,24,1191.0625,0,"('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,(lambda x: 2 if x > 2 else 3)(x)', 26)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,(lambda x: 2 if x > 2 else 3)(x)', 26)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,(lambda x: 2 if x > 2 else 3)(x)', 26)","('BinarySearchTreeLimitedDepth,ff,integrate,10,2,10,(lambda x: 2 if x > 2 else 3)(x)', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,(lambda x: 2 if x > 2 else 3)(x)', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,(lambda x: 2 if x > 2 else 3)(x)', 26)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,(lambda x: 2 if x > 2 else 3)(x)', 26)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,(lambda x: 2 if x > 2 else 3)(x)', 26)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,(lambda x: 2 if x > 2 else 3)(x)', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,(lambda x: 2 if x > 2 else 3)(x)', 26)"
3-prem,EQHJFM,12,16963625,2,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 10)"
4-prem,EQHJFM,28,22136.083333333332,9,"('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 27)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 26)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 25)","('Graph,ff,integrate,10,10,10,x - 10', 25)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 25)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,sum([exp(1)**(-((x - n)/2.)) for n in timesteps])', 25)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 25)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,sum([exp(1)**(-((x - n)/2.)) for n in timesteps])', 25)"
