,Individual ID,Correctly solved problems,Mean answer time,How many answer times were more than one std faster than mean,Most likely,2nd most likely,3rd most likely,4th most likely,5th most likely,6th most likely,7th most likely,8th most likely,9th most likely,10th most likely
3-prem,IEIRGN,14,17174.4375,2,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)","('Graph,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,IEIRGN,43,29263.0625,4,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 26)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 25)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 25)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 25)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 25)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 24)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 24)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 23)"
3-prem,QLZMJM,16,10536.8125,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,,,,,,,,,,,,,,
3-prem,QULZXT,11,34264.25,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 9)"
4-prem,QULZXT,32,47110.604166666664,10,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 32)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 32)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 28)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 27)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 27)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 26)"
3-prem,THRJGF,10,17823.0625,3,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 12)","('Graph,ff,supermodel,10,10,1,x - 10', 12)","('Graph,ff,integrate,10,10,10,x - 10', 12)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 12)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 12)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 12)","('Graph,fff,supermodel,10,10,1,x - 10', 12)"
4-prem,THRJGF,23,3452.9375,0,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 29)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 29)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 29)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 29)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 29)","('BinarySearchTreeLimitedDepth,ff,integrate,10,2,10,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 29)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 29)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 29)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 29)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 29)"
3-prem,HXKROE,16,30122.75,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,HXKROE,33,28753.833333333332,4,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 29)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 29)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 28)","('Graph,ff,integrate,10,10,10,x - 10', 28)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 28)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 28)","('InfiniteList,ff,supermodel,10,10,1,x - 10', 28)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,x - 10', 28)"
3-prem,DRUXYQ,15,25386.75,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 9)","('Graph,fff,supermodel,10,10,1,x - 10', 9)"
4-prem,DRUXYQ,32,61415.1875,0,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 30)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 30)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 30)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 30)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 30)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 30)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 29)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 29)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 28)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 27)"
3-prem,IVEVKT,14,10415.25,1,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,IVEVKT,44,13221375,7,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 30)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 30)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 28)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 28)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 28)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 28)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 27)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 27)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 25)","('Graph,ff,integrate,10,10,10,x - 10', 25)"
3-prem,IVOEEP,16,18422.9375,5,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,IVOEEP,17,24990.941176470587,0,"('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 13)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 13)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 12)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 12)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 11)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 10)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 10)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 10)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 10)"
3-prem,OPCKOC,14,32902.25,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)","('Graph,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,OPCKOC,27,11919.041666666666,3,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 29)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 29)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 28)","('Graph,ff,integrate,10,10,10,x - 10', 28)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 28)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 28)","('InfiniteList,ff,supermodel,10,10,1,x - 10', 28)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,x - 10', 28)"
3-prem,ASSXHN,12,15623.5,3,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 10)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 10)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)"
4-prem,ASSXHN,37,18038.395833333332,4,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 31)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 31)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 31)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 31)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 30)","('Graph,ff,integrate,10,10,10,x - 10', 30)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 30)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 30)","('InfiniteList,ff,supermodel,10,10,1,x - 10', 30)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,x - 10', 30)"
3-prem,BFYKHC,15,14827.1875,0,"('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,integrate,10,2,10,x - 10', 9)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,0,x - 10', 9)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 7)","('Graph,ff,supermodel,10,10,1,x - 10', 7)","('Graph,ff,integrate,10,10,10,x - 10', 7)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 7)"
4-prem,BFYKHC,40,13925.729166666666,0,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 30)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 30)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 27)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 24)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 23)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 23)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 23)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 22)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 22)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 22)"
3-prem,YBYNYH,14,15048.75,2,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 6)","('Graph,ff,supermodel,10,10,1,x - 10', 6)","('Graph,ff,integrate,10,10,10,x - 10', 6)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 6)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 6)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 6)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 6)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 6)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 6)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 6)"
4-prem,,,,,,,,,,,,,,
3-prem,WLRLDD,12,31602.0625,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 10)","('Graph,ff,supermodel,10,10,1,x - 10', 10)","('Graph,ff,integrate,10,10,10,x - 10', 10)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 10)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 10)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 10)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 10)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 10)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 10)","('Graph,fff,supermodel,10,10,1,x - 10', 10)"
4-prem,WLRLDD,36,24329.854166666668,6,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 32)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 32)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 32)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 32)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 32)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 32)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 29)","('Graph,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 29)"
3-prem,EOJQYJ,15,16374.3125,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 7)","('Graph,ff,supermodel,10,10,1,x - 10', 7)","('Graph,ff,integrate,10,10,10,x - 10', 7)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 7)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 7)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 7)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 7)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 7)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 7)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 7)"
4-prem,EOJQYJ,38,20864.229166666668,10,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 28)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 28)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 26)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 25)","('Graph,ff,integrate,10,10,10,x - 10', 25)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 25)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 25)"
